date_week,province,total_posts,avg_word_count,joy_mean,sadness_mean,anger_mean,fear_mean,surprise_mean,neutral_mean,joy_std,sadness_std,anger_std,fear_std,surprise_std,neutral_std,dominant_emotion_key,dominant_emotion,dominant_score,positive_index,emotional_intensity,fear_joy_ratio,reliable
2019-W50,上海,11,376.1818181818182,0.17272727272727273,0.045454545454545456,0.03636363636363637,0.045454545454545456,0.08181818181818182,0.6181818181818182,0.24531982835029495,0.08201995322647244,0.08090398349558905,0.15075567228888181,0.1537412229571615,0.3628172592867705,neutral,中性,0.6181818181818182,1.2582781456953642,0.38181818181818183,0.24875621890547264,False
2019-W50,云南,5,299.0,0.25999999999999995,0.04,0.1,0.0,0.06000000000000001,0.54,0.3209361307176242,0.0894427190999916,0.223606797749979,0.0,0.05477225575051661,0.3507135583350037,neutral,中性,0.54,1.7333333333333327,0.45999999999999996,0.0,False
2019-W50,内蒙古,2,271.0,0.1,0.0,0.3,0.15000000000000002,0.0,0.45,0.14142135623730953,0.0,0.4242640687119285,0.07071067811865475,0.0,0.4949747468305833,neutral,中性,0.45,0.21739130434782608,0.55,1.3636363636363638,False
2019-W50,北京,32,299.5625,0.2203125,0.059375000000000004,0.09375,0.03125,0.06875,0.5265625,0.301570987470398,0.12341740087487534,0.17949301361190598,0.09979818344716922,0.13121639354701026,0.33552663828673873,neutral,中性,0.5265625,1.1334405144694533,0.47343749999999996,0.13568521031207598,True
2019-W50,台湾,1,465.0,0.6,0.0,0.0,0.0,0.2,0.2,,,,,,,joy,喜悦,0.6,60.0,0.8,0.0,False
2019-W50,吉林,4,233.5,0.1625,0.025,0.0,0.05,0.05,0.7125,0.2926174977679906,0.05,0.0,0.05773502691896258,0.05773502691896258,0.28394541729001366,neutral,中性,0.7125,1.9117647058823528,0.2875,0.2898550724637681,False
2019-W50,四川,18,378.8333333333333,0.2027777777777778,0.044444444444444446,0.09722222222222222,0.04722222222222223,0.06944444444444445,0.5388888888888889,0.2922892514889108,0.08555852638929973,0.2252268282931821,0.07759666120436728,0.10729136921717763,0.3554432012024506,neutral,中性,0.5388888888888889,1.0195530726256985,0.46111111111111114,0.22193211488250653,False
2019-W50,天津,4,187.75,0.35,0.05,0.0,0.025,0.15000000000000002,0.425,0.3,0.05773502691896258,0.0,0.05,0.05773502691896258,0.206155281280883,neutral,中性,0.425,4.117647058823529,0.575,0.06944444444444445,False
2019-W50,宁夏,1,415.0,0.6,0.0,0.0,0.0,0.1,0.3,,,,,,,joy,喜悦,0.6,60.0,0.7,0.0,False
2019-W50,安徽,12,433.0833333333333,0.1125,0.008333333333333333,0.05416666666666667,0.025000000000000005,0.125,0.6749999999999999,0.1539258971654277,0.02886751345948129,0.18763883748662838,0.0621581560508061,0.13734495390671025,0.2726136126795245,neutral,中性,0.6749999999999999,1.1538461538461537,0.32500000000000007,0.20408163265306126,False
